Tool Name,Primary Function,Data Sources,Target User/Client,Environment Type,Description,TNFD Link
Biodiversity Intactness Index,Status assessment,"Land use data, species occurrence, abundance","Researchers, policy makers",Terrestrial,Indicates the average abundance of original species relative to their abundance in undisturbed habitat,https://tnfd.global/tools-platforms/biodiversity-intactness-index/
Biodiversity Metric 3.0,Offset calculation,"Habitat condition, area, distinctiveness","Developers, planners",Multiple,Calculates biodiversity net gain/loss for development projects in England,https://tnfd.global/tools-platforms/biodiversity-metric-3.0/
Biodiversity Module in the Textile Exchange's Corporate Fiber & Materials Benchmark,Benchmarking,"Corporate practices, materials data",Textile industry,Multiple,Benchmarks textile companies' biodiversity performance in material sourcing,https://tnfd.global/tools-platforms/biodiversity-module-in-the-textile-exchange's-corporate-fiber-and-materials-benchmark/
Biodiversity Net Gain Model,Offset calculation,"Habitat data, species occurrence, ecological functionality","Developers, planners",Multiple,Calculates biodiversity net gain requirements for development projects,https://tnfd.global/tools-platforms/biodiversity-net-gain-model/
Biodiversity Performance Tool,Assessment,"Farm management practices, landscape features","Farmers, food companies",Agricultural,Evaluates farm-level biodiversity performance and suggests improvement measures,https://tnfd.global/tools-platforms/biodiversity-performance-tool/
Biodiversity Risk and Opportunity Assessment,Risk assessment,"Supply chain data, ecosystem services, species data",Agricultural businesses,Multiple,Identifies biodiversity-related risks and opportunities in agricultural supply chains,https://tnfd.global/tools-platforms/biodiversity-risk-and-opportunity-assessment/
Biodiversity Sensitivity Index,Risk assessment,"Species distribution, protection status","Financial institutions, businesses",Multiple,Maps biodiversity sensitivity to help businesses identify high-risk areas,https://tnfd.global/tools-platforms/biodiversity-sensitivity-index/
Biofin Workbook,Financial planning,"Conservation costs, policy instruments",Governments,Multiple,Helps countries determine financial needs for biodiversity conservation and develop resource mobilization strategies,https://tnfd.global/tools-platforms/biofin-workbook/
Biological Condition Gradient,Status assessment,"Water quality data, biological assemblage data",Water resource managers,Freshwater,Framework for describing biological condition of aquatic ecosystems,https://tnfd.global/tools-platforms/biological-condition-gradient/
Biologically Significant Area Standard,Certification,"Species data, ecosystem indicators, connectivity","Protected area managers, developers",Multiple,Standard for identifying and managing areas of high biodiversity value,https://tnfd.global/tools-platforms/biologically-significant-area-standard/
BioScore,Impact assessment,"Species occurrence, environmental pressure data","Policy makers, researchers",Multiple,Evaluates effects of environmental pressures on European biodiversity,https://tnfd.global/tools-platforms/bioscore/
BISM,Impact assessment,"Land use data, species occurrence, ecosystem services","Businesses, developers",Multiple,Measures direct and indirect impacts of business activities on biodiversity,https://tnfd.global/tools-platforms/bism/
Blue Natural Capital Financing Facility,Financial mechanism,"Ecosystem services data, carbon sequestration",Coastal project developers,"Marine, Coastal",Supports projects that combine coastal ecosystem restoration with sustainable business models,https://tnfd.global/tools-platforms/blue-natural-capital-financing-facility/
BNG Metric,Offset calculation,"Habitat data, condition assessments","Developers, consultants",Multiple,Calculates biodiversity net gain for development projects,https://tnfd.global/tools-platforms/bng-metric/
Brightway Biodiversity Ecosystem Services,Impact assessment,"Life cycle inventory data, ecosystem service indicators",Product manufacturers,Multiple,Assesses biodiversity and ecosystem service impacts in life cycle assessment,https://tnfd.global/tools-platforms/brightway-biodiversity-ecosystem-services/
B-INTACT,Impact assessment,"Project data, land use change, species data",Agricultural project developers,Terrestrial,Ex-ante assessment of biodiversity impact of agricultural investment projects,https://tnfd.global/tools-platforms/b-intact/
BTR Biodiversity Monitoring Protocol,Monitoring,"Field surveys, species occurrence","Building managers, developers",Urban,Monitors biodiversity in built environments to improve green building certification,https://tnfd.global/tools-platforms/btr-biodiversity-monitoring-protocol/
Business and Biodiversity Offset Program,Framework,"Habitat data, species occurrence, ecosystem functions","Developers, governments",Multiple,Framework for designing and implementing biodiversity offsets,https://tnfd.global/tools-platforms/business-and-biodiversity-offset-program/
By Bel Global Environmental Footprint Tool,Footprinting,"Supply chain data, life cycle assessment",Food industry,Multiple,Measures environmental footprint including biodiversity impacts for food products,https://tnfd.global/tools-platforms/by-bel-global-environmental-footprint-tool/
Carbon Footprint Evaluation Tool,Impact assessment,"Carbon emissions, land use data",Project developers,Multiple,Evaluates carbon impacts of projects with consideration of biodiversity co-benefits,https://tnfd.global/tools-platforms/carbon-footprint-evaluation-tool/
CBF Tool,Footprinting,"Corporate data, supply chain activities",Businesses,Multiple,Measures corporate biodiversity footprint across operations and supply chain,https://tnfd.global/tools-platforms/cbf-tool/
CDC Biodiversity Guidance Note,Framework,"Investment portfolio data, sectoral impacts",Development finance institutions,Multiple,Guidance for integrating biodiversity considerations into development finance,https://tnfd.global/tools-platforms/cdc-biodiversity-guidance-note/
ClearWater Biodiversity Index,Status assessment,"Water quality data, macroinvertebrate surveys","Water managers, regulators",Freshwater,Assesses freshwater ecosystem health through biodiversity indicators,https://tnfd.global/tools-platforms/clearwater-biodiversity-index/
Climate Trace,Monitoring,"Satellite data, GHG emissions","Policy makers, businesses",Multiple,Tracks greenhouse gas emissions with associated biodiversity impacts,https://tnfd.global/tools-platforms/climate-trace/
CO2Stone,Impact assessment,"Geological data, carbon sequestration",Carbon capture projects,Terrestrial,Evaluates biodiversity impacts of carbon capture and storage in geological formations,https://tnfd.global/tools-platforms/co2stone/
Coastal Resilience Tool,Risk assessment,"Coastal habitat data, climate projections","Coastal planners, communities",Coastal,Maps coastal habitats to identify areas important for both biodiversity and climate resilience,https://tnfd.global/tools-platforms/coastal-resilience-tool/
Community Voice Method,Stakeholder engagement,"Community knowledge, traditional ecological knowledge",Conservation planners,Multiple,Incorporates local and indigenous knowledge into biodiversity assessments,https://tnfd.global/tools-platforms/community-voice-method/
CONNECTS,Offset calculation,"Habitat connectivity, species movement data","Conservation planners, developers",Terrestrial,Evaluates landscape connectivity for biodiversity conservation planning,https://tnfd.global/tools-platforms/connects/
Conservation Evidence,Knowledge database,"Scientific studies, intervention effectiveness",Conservation practitioners,Multiple,Evidence-based platform for assessing effectiveness of conservation interventions,https://tnfd.global/tools-platforms/conservation-evidence/
Cool Farm Tool,Impact assessment,"Farm management data, GHG emissions, water use",Agricultural sector,Terrestrial,Farm-level assessment tool with biodiversity module focusing on agricultural practices,https://tnfd.global/tools-platforms/cool-farm-tool/
CORDEX,Climate modeling,"Climate projections, species distribution models","Researchers, policy makers",Multiple,Provides regional climate projections to assess biodiversity vulnerability to climate change,https://tnfd.global/tools-platforms/cordex/
Corporate Biodiversity Benchmarking,Benchmarking,"Corporate reporting, management practices",Businesses,Multiple,Benchmarks corporate performance on biodiversity management and reporting,https://tnfd.global/tools-platforms/corporate-biodiversity-benchmarking/
Corporate Ecosystem Services Review,Risk assessment,"Ecosystem services data, corporate dependencies",Businesses,Multiple,Helps businesses identify risks and opportunities from ecosystem service dependencies,https://tnfd.global/tools-platforms/corporate-ecosystem-services-review/
Corporate Water Footprint (CWF) Accounting,Footprinting,"Water use data, watershed impacts",Businesses,Freshwater,Assesses corporate impacts on freshwater ecosystems and biodiversity,https://tnfd.global/tools-platforms/corporate-water-footprint-cwf-accounting/
CPD,Reporting framework,Corporate environmental data,Businesses,Multiple,Environmental disclosure system that includes biodiversity metrics,https://tnfd.global/tools-platforms/cpd/
CrossCheck,Verification,"Offset project data, conservation outcomes",Conservation finance,Multiple,Verifies biodiversity claims in conservation finance projects,https://tnfd.global/tools-platforms/crosscheck/
Deep Sea Mining Impact Model,Impact assessment,"Habitat data, species vulnerability","Mining companies, regulators",Marine,Assesses potential biodiversity impacts of deep sea mining operations,https://tnfd.global/tools-platforms/deep-sea-mining-impact-model/
DEFRA Biodiversity Metric,Offset calculation,"Habitat data, condition assessments","Developers, consultants",Multiple,UK government tool for calculating biodiversity net gain in development,https://tnfd.global/tools-platforms/defra-biodiversity-metric/
Develop-marine,Impact assessment,"Marine habitat data, sensitivity indicators",Coastal developers,Marine,Assesses biodiversity impacts of coastal and marine development projects,https://tnfd.global/tools-platforms/develop-marine/
DPSIR framework,Conceptual framework,Various environmental indicators,Policy makers,Multiple,"Framework linking drivers, pressures, state, impact and responses for biodiversity",https://tnfd.global/tools-platforms/dpsir-framework/
Durrell Index,Status assessment,Population data for threatened species,Conservation organizations,Multiple,Measures conservation progress for highly threatened species,https://tnfd.global/tools-platforms/durrell-index/
eDNA metabarcoding,Monitoring,Environmental DNA samples,"Researchers, conservation practitioners",Multiple,Uses DNA in environmental samples to detect species presence and biodiversity,https://tnfd.global/tools-platforms/edna-metabarcoding/
Ecological Connectivity Index,Connectivity assessment,"Landscape structure, species movement data","Planners, conservation organizations",Terrestrial,Measures landscape connectivity for biodiversity conservation planning,https://tnfd.global/tools-platforms/ecological-connectivity-index/
Ecologically or Biologically Significant Marine Areas (EBSAs),Area identification,"Marine species data, oceanographic data",Marine conservation planners,Marine,Framework for identifying marine areas important for biodiversity,https://tnfd.global/tools-platforms/ecologically-or-biologically-significant-marine-areas-ebsas/
EDGE of Existence,Prioritization,"Phylogenetic data, extinction risk",Conservation organizations,Multiple,Prioritizes species for conservation based on evolutionary distinctiveness and threat status,https://tnfd.global/tools-platforms/edge-of-existence/
Ecosystem Natural Capital Accounts,Accounting,"Ecosystem extent, condition, services",Governments,Multiple,National-level accounting system for tracking ecosystem assets and services,https://tnfd.global/tools-platforms/ecosystem-natural-capital-accounts/
Ecosystem-Based Adaptation M&E Tool,Monitoring,"Climate vulnerability, ecosystem services",Adaptation project managers,Multiple,Monitors effectiveness of ecosystem-based adaptation projects for climate resilience,https://tnfd.global/tools-platforms/ecosystem-based-adaptation-mande-tool/
ENCORE,Risk assessment,"Ecosystem services, business dependencies",Financial institutions,Multiple,Maps dependencies of business sectors on ecosystem services to assess natural capital risk,https://tnfd.global/tools-platforms/encore/
EnhanceBio,Impact assessment,"Land management practices, species data",Land managers,Terrestrial,Assesses biodiversity impacts of different land management scenarios,https://tnfd.global/tools-platforms/enhancebio/
Environment Agency NCAMM,Risk assessment,"Water quality, habitat data, species occurrence",Water managers,Freshwater,Natural Capital Asset Management Model for freshwater ecosystems,https://tnfd.global/tools-platforms/environment-agency-ncamm/
Environmental Impact Assessment,Impact assessment,Multiple environmental indicators,"Developers, regulators",Multiple,Regulatory framework for assessing biodiversity impacts of development projects,https://tnfd.global/tools-platforms/environmental-impact-assessment/
ENVISION,Scenario planning,"Land use, ecosystem services, biodiversity indicators",Land use planners,Terrestrial,Spatially-explicit tool for assessing biodiversity outcomes of land use scenarios,https://tnfd.global/tools-platforms/envision/
ESG-Tool for Development Banks,Risk assessment,"Environmental, social, governance indicators",Development banks,Multiple,Tool for assessing biodiversity within broader ESG risk framework,https://tnfd.global/tools-platforms/esg-tool-for-development-banks/
ESGAP,Gap analysis,"Environmental policy targets, indicators",Policy makers,Multiple,Identifies gaps between environmental sustainability goals and current states,https://tnfd.global/tools-platforms/esgap/
Ethos-EIR,Risk assessment,"Corporate practices, sector impacts",Investors,Multiple,Assesses companies' management of biodiversity risks and impacts,https://tnfd.global/tools-platforms/ethos-eir/
EU Business @ Biodiversity Platform,Knowledge sharing,"Corporate case studies, best practices",Businesses,Multiple,Platform for businesses to share biodiversity assessment approaches,https://tnfd.global/tools-platforms/eu-business-@-biodiversity-platform/
EU Taxonomy for Sustainable Activities,Classification,"Economic activities, technical screening criteria","Financial institutions, businesses",Multiple,Classification system defining environmentally sustainable activities including biodiversity,https://tnfd.global/tools-platforms/eu-taxonomy-for-sustainable-activities/
EXCITES,Impact assessment,"Satellite imagery, habitat data, species occurrence",Conservation planners,Multiple,Uses earth observation data to track biodiversity and ecosystem change,https://tnfd.global/tools-platforms/excites/
FairWild,Certification,"Harvesting practices, species status","Wild plant harvesters, companies",Terrestrial,Certification system for sustainable wild plant harvesting with biodiversity considerations,https://tnfd.global/tools-platforms/fairwild/
FAO-LEAP,Framework,Livestock production metrics,Livestock sector,Multiple,Guidelines for assessing biodiversity in livestock production systems,https://tnfd.global/tools-platforms/fao-leap/
FERN,Risk assessment,"Satellite imagery, deforestation data",Financial institutions,Forests,Identifies forest-related risks including biodiversity loss in investment portfolios,https://tnfd.global/tools-platforms/fern/
Fisheries Assessment Tool,Impact assessment,"Fish stock data, bycatch, habitat impacts",Fisheries managers,Marine,Assesses biodiversity impacts of fishing practices,https://tnfd.global/tools-platforms/fisheries-assessment-tool/
FishSource,Status assessment,"Fish stock assessments, management effectiveness",Seafood industry,Marine,Provides information on sustainability of fish stocks including biodiversity impacts,https://tnfd.global/tools-platforms/fishsource/
FLORABANK,Data repository,Plant species occurrence,"Conservationists, researchers",Terrestrial,Database of plant distribution for biodiversity assessment,https://tnfd.global/tools-platforms/florabank/
Floral Footprint Model,Footprinting,"Land use change, habitat quality",Businesses,Terrestrial,Assesses corporate impacts on plant biodiversity,https://tnfd.global/tools-platforms/floral-footprint-model/
Frontier Earth,Monitoring,"Satellite imagery, AI analysis",Conservation organizations,Multiple,Uses AI and satellite data to monitor biodiversity at landscape scale,https://tnfd.global/tools-platforms/frontier-earth/
FSFL,Impact assessment,"Forest management data, habitat quality",Forestry sector,Forests,Assesses biodiversity impacts of forest management practices,https://tnfd.global/tools-platforms/fsfl/
GBIF,Data repository,Species occurrence data,"Researchers, conservationists",Multiple,Global biodiversity database providing foundation data for many assessment tools,https://tnfd.global/tools-platforms/gbif/
GBS,Footprinting,"Economic activity data, pressure-impact models","Businesses, financial institutions",Multiple,Quantifies biodiversity footprint of economic activities in MSA.km²,https://tnfd.global/tools-platforms/gbs/
GDG,Impact assessment,"Land use, pollution, climate change data",Businesses,Multiple,Measures biodiversity impact from direct operations and supply chains,https://tnfd.global/tools-platforms/gdg/
GLOBIO,Modeling,"Land use, infrastructure, climate change data","Policy makers, researchers",Terrestrial,Models human impacts on terrestrial biodiversity at global and regional scales,https://tnfd.global/tools-platforms/globio/
Global Biodiversity Score,Footprinting,"Pressure data, GLOBIO model","Businesses, financial institutions",Multiple,Quantifies corporate biodiversity footprint across operations and value chain,https://tnfd.global/tools-platforms/global-biodiversity-score/
Global Coral Reef Monitoring Network,Monitoring,"Coral cover, fish abundance, reef health","Reef managers, researchers",Marine,Standardized methodology for monitoring coral reef biodiversity,https://tnfd.global/tools-platforms/global-coral-reef-monitoring-network/
Global Environment Facility Tracking Tool,Monitoring,Protected area effectiveness indicators,Conservation project managers,Multiple,Tracks biodiversity conservation outcomes in GEF-funded projects,https://tnfd.global/tools-platforms/global-environment-facility-tracking-tool/
Global Forest Watch,Monitoring,"Satellite imagery, forest cover change","Forest managers, conservationists",Forests,Monitors forest loss and associated biodiversity impacts,https://tnfd.global/tools-platforms/global-forest-watch/
Global Invasive Species Database,Risk assessment,"Invasive species distribution, impacts",Conservation managers,Multiple,Information on invasive species affecting biodiversity,https://tnfd.global/tools-platforms/global-invasive-species-database/
Global Ocean Biodiversity Initiative,Area identification,"Marine biodiversity data, oceanography",Marine conservationists,Marine,Identifies ecologically significant areas in marine ecosystems,https://tnfd.global/tools-platforms/global-ocean-biodiversity-initiative/
Global Reporting Initiative,Reporting framework,Corporate environmental indicators,Businesses,Multiple,Standardized sustainability reporting framework including biodiversity metrics,https://tnfd.global/tools-platforms/global-reporting-initiative/
Global Seagrass Monitoring Network,Monitoring,"Seagrass extent, condition","Coastal managers, researchers",Marine,Standardized methodology for monitoring seagrass ecosystems,https://tnfd.global/tools-platforms/global-seagrass-monitoring-network/
Global Standard for Nature-based Solutions,Certification,"Project design, implementation, outcomes",Project developers,Multiple,IUCN standard for verifying nature-based solutions with biodiversity benefits,https://tnfd.global/tools-platforms/global-standard-for-nature-based-solutions/
GPM,Impact assessment,"Land use change, ecosystem integrity","Businesses, project developers",Multiple,Measures impacts of projects on biodiversity and ecosystem services,https://tnfd.global/tools-platforms/gpm/
GRI 304: Biodiversity,Reporting framework,Corporate biodiversity impacts,Businesses,Multiple,Specific biodiversity reporting standard within GRI framework,https://tnfd.global/tools-platforms/gri-304:-biodiversity/
Habitat Condition Assessment,Status assessment,"Habitat quality indicators, ecological functions","Land managers, consultants",Multiple,Assesses ecological condition of habitats against reference states,https://tnfd.global/tools-platforms/habitat-condition-assessment/
Habitat Equivalency Analysis,Offset calculation,"Habitat quality, area, ecosystem services","Regulators, restoration practitioners",Multiple,Calculates compensation requirements for habitat damages,https://tnfd.global/tools-platforms/habitat-equivalency-analysis/
Habitat Quality/InVEST,Status assessment,"Land use, threat intensity, habitat sensitivity","Land managers, conservation planners",Multiple,Maps habitat quality based on threats and land use patterns,https://tnfd.global/tools-platforms/habitat-quality/invest/
HCS Approach,Area identification,"Carbon stock, vegetation structure",Agricultural sector,Forests,Identifies forest areas for conservation in agricultural landscapes,https://tnfd.global/tools-platforms/hcs-approach/
Healthy Ecosystem Framework,Framework,"Ecosystem processes, biodiversity indicators",Land managers,Multiple,Framework for assessing ecosystem health including biodiversity,https://tnfd.global/tools-platforms/healthy-ecosystem-framework/
Henry Doubleday Living Soils,Status assessment,"Soil biodiversity, soil health indicators",Farmers,Terrestrial,Assesses soil biodiversity as indicator of agricultural sustainability,https://tnfd.global/tools-platforms/henry-doubleday-living-soils/
HEP - Habitat Evaluation Procedure,Impact assessment,"Habitat suitability, area","Wildlife managers, developers",Multiple,Quantifies wildlife habitat value for impact assessment and mitigation planning,https://tnfd.global/tools-platforms/hep---habitat-evaluation-procedure/
Heronbridge Corporate Biodiversity Index,Benchmarking,"Corporate practices, site-level biodiversity",Businesses,Multiple,Corporate biodiversity performance index for businesses,https://tnfd.global/tools-platforms/heronbridge-corporate-biodiversity-index/
HH2,Risk assessment,"Climate vulnerability, ecological threshold",Conservation planners,Multiple,Identifies areas of high biodiversity value vulnerable to climate change,https://tnfd.global/tools-platforms/hh2/
IBAT,Data provision,"Protected areas, key biodiversity areas, threatened species","Businesses, financial institutions",Multiple,Provides biodiversity data for corporate risk screening and assessment,https://tnfd.global/tools-platforms/ibat/
iBOL,Monitoring,"DNA barcodes, species identification","Researchers, regulators",Multiple,DNA barcoding initiative supporting biodiversity identification and monitoring,https://tnfd.global/tools-platforms/ibol/
IFRS/ISSB,Reporting framework,"Financial materiality, sustainability disclosure",Businesses,Multiple,Sustainability-related financial disclosure standards including biodiversity,https://tnfd.global/tools-platforms/ifrs/issb/
IMAP Common Indicators,Monitoring,Marine biodiversity indicators,"Policy makers, marine managers",Marine,Standardized indicators for monitoring Mediterranean marine biodiversity,https://tnfd.global/tools-platforms/imap-common-indicators/
Impact Cubed,Footprinting,"Investment portfolio data, environmental metrics",Investors,Multiple,Measures biodiversity impact of investment portfolios,https://tnfd.global/tools-platforms/impact-cubed/
INSURE,Risk assessment,"Ecosystem services, infrastructure dependence",Infrastructure developers,Multiple,"Assesses relationships between infrastructure, biodiversity and ecosystem services",https://tnfd.global/tools-platforms/insure/
IRIS+,Metrics system,Impact investment indicators,Impact investors,Multiple,System for measuring and managing impact including biodiversity outcomes,https://tnfd.global/tools-platforms/iris+/
I-Score,Impact assessment,"Economic activities, environmental footprint",Businesses,Multiple,Measures environmental impacts including biodiversity for business activities,https://tnfd.global/tools-platforms/i-score/
ISSC Norms,Standards,Corporate sustainability performance,Businesses,Multiple,Sustainability standards including biodiversity management requirements,https://tnfd.global/tools-platforms/issc-norms/
IUCN Red List of Ecosystems,Risk assessment,"Ecosystem distribution, function, threats","Conservation planners, policy makers",Multiple,Assesses risk of ecosystem collapse using standardized criteria,https://tnfd.global/tools-platforms/iucn-red-list-of-ecosystems/
IUCN Red List of Threatened Species,Status assessment,"Species population, range, threats","Conservation organizations, researchers",Multiple,Global inventory of conservation status of species,https://tnfd.global/tools-platforms/iucn-red-list-of-threatened-species/
IUCN STAR,Prioritization,"Species threat abatement, restoration potential","Conservation planners, businesses",Multiple,Measures potential contribution of locations/actions to reducing species extinction risk,https://tnfd.global/tools-platforms/iucn-star/
JRC DOPA,Monitoring,"Protected area indicators, ecological characteristics",Protected area managers,Multiple,Provides indicators on protected areas status and pressures,https://tnfd.global/tools-platforms/jrc-dopa/
Kering EP&L,Accounting,Supply chain environmental impacts,Fashion industry,Multiple,Environmental profit and loss accounting including biodiversity impacts,https://tnfd.global/tools-platforms/kering-epandl/
Key Biodiversity Areas,Area identification,"Species presence, ecosystem services",Conservation planners,Multiple,Identifies sites of global significance for biodiversity conservation,https://tnfd.global/tools-platforms/key-biodiversity-areas/
LEAP Nature Risk Assessment,Risk assessment,"Business operations, dependencies, impacts",Financial institutions,Multiple,Framework for financial institutions to assess nature-related risks,https://tnfd.global/tools-platforms/leap-nature-risk-assessment/
LedaFlow,Impact assessment,"Oil and gas operations, environmental conditions",Energy sector,Marine,Assesses potential marine biodiversity impacts from oil and gas operations,https://tnfd.global/tools-platforms/ledaflow/
Life Cycle Assessment,Impact assessment,"Product life cycle data, environmental pressures",Product manufacturers,Multiple,Assesses environmental impacts throughout product life cycles,https://tnfd.global/tools-platforms/life-cycle-assessment/
Living Planet Index,Status assessment,Vertebrate population abundance,"Conservation organizations, policy makers",Multiple,Measures trends in populations of vertebrate species,https://tnfd.global/tools-platforms/living-planet-index/
Local Biodiversity Intactness Index,Status assessment,"Species occurrence, abundance, land use","Land managers, local authorities",Terrestrial,Local-scale application of the Biodiversity Intactness Index,https://tnfd.global/tools-platforms/local-biodiversity-intactness-index/
Making Peace with Nature,Framework,"Environmental pressures, policy responses",Policy makers,Multiple,UNEP framework linking biodiversity loss with other environmental challenges,https://tnfd.global/tools-platforms/making-peace-with-nature/
Mariner Tool,Risk assessment,"Shipping activities, sensitive marine areas",Shipping industry,Marine,Assesses shipping-related risks to marine biodiversity,https://tnfd.global/tools-platforms/mariner-tool/
MIMES,Modeling,"Ecosystem services, economic activities",Land use planners,Multiple,Models interactions between ecosystems and economic systems,https://tnfd.global/tools-platforms/mimes/
MSCI Biodiversity Screening,Screening,"Corporate practices, sector impacts",Investors,Multiple,Screens investment portfolios for biodiversity-related risks and impacts,https://tnfd.global/tools-platforms/msci-biodiversity-screening/
NASA-NEX,Data provision,"Climate projections, ecosystem data","Researchers, conservation planners",Multiple,Provides data for modeling climate change impacts on biodiversity,https://tnfd.global/tools-platforms/nasa-nex/
National Capital Coalition / Capitals Coalition,Framework,Natural capital dependencies and impacts,Businesses,Multiple,Framework for integrating natural capital including biodiversity into decision-making,https://tnfd.global/tools-platforms/national-capital-coalition-/-capitals-coalition/
Naturescore,Rating,Corporate biodiversity performance,Investors,Multiple,Rates companies on biodiversity performance for investment decisions,https://tnfd.global/tools-platforms/naturescore/
NatureVest,Investment screening,"Conservation outcomes, financial returns",Impact investors,Multiple,Evaluates biodiversity benefits of conservation investments,https://tnfd.global/tools-platforms/naturevest/
NBS Benefits Explorer,Impact assessment,"Nature-based solutions, ecosystem services",Urban planners,Urban,Assesses biodiversity benefits of nature-based solutions in cities,https://tnfd.global/tools-platforms/nbs-benefits-explorer/
NCS Navigator,Planning,"Natural climate solutions, biodiversity co-benefits",Land managers,Multiple,Identifies opportunities for natural climate solutions with biodiversity benefits,https://tnfd.global/tools-platforms/ncs-navigator/
NDVI Biodiversity Index,Monitoring,Satellite vegetation indices,Land managers,Terrestrial,Uses satellite data to monitor ecosystem productivity as biodiversity proxy,https://tnfd.global/tools-platforms/ndvi-biodiversity-index/
NII,Framework,"Development impacts, biodiversity gains",Developers,Multiple,Framework for planning developments with net improvements for biodiversity,https://tnfd.global/tools-platforms/nii/
Norway Nature Index,Status assessment,"Species abundance, ecosystem indicators",Policy makers,Multiple,National-level biodiversity status assessment system,https://tnfd.global/tools-platforms/norway-nature-index/
OECD Environmental Indicators,Monitoring,"Environmental pressure, state, response indicators",Policy makers,Multiple,Framework for tracking environmental progress including biodiversity,https://tnfd.global/tools-platforms/oecd-environmental-indicators/
PBAF,Framework,Investment impacts on biodiversity,Financial institutions,Multiple,Framework for financial institutions to assess biodiversity footprint,https://tnfd.global/tools-platforms/pbaf/
